TIMESTAMP,USERNAME,ACTION,OBJECT_NAME,RETURNCODE,CLIENT_ID,OS_USERNAME,TERMINAL
2025-12-22 11:13:52.103161,HR,DROP,CUSTOMERS,0,192.168.1.19,user48,SERVER1
2025-12-13 20:12:52.103161,DBA_JOHN,SELECT,DEPARTMENTS,0,192.168.1.229,user23,WORKSTATION1
2025-12-18 04:09:52.103161,ADMIN,UPDATE,CUSTOMERS,0,192.168.1.217,user24,WORKSTATION1
2025-12-22 19:06:52.103161,ANALYST,UPDATE,PRODUCTS,0,192.168.1.39,user8,LAPTOP5
2026-01-09 10:42:52.103161,APP_USER,CREATE,EMPLOYEES,0,192.168.1.147,user31,SERVER1
2025-12-31 03:48:52.103161,DBA_JOHN,ALTER,ORDERS,0,192.168.1.205,user18,UNKNOWN
2026-01-08 16:20:52.103161,APP_USER,CREATE,EMPLOYEES,0,192.168.1.15,user47,LAPTOP5
2025-12-20 07:46:52.103161,ANALYST,INSERT,SALARY_DATA,0,192.168.1.119,user26,UNKNOWN
2025-12-16 06:07:52.103161,ANALYST,CREATE,PRODUCTS,942,192.168.1.94,user20,UNKNOWN
2025-12-11 22:25:52.103161,HR,CREATE,CUSTOMERS,0,192.168.1.180,user28,SERVER1
2025-12-17 09:36:52.103161,DBA_JOHN,SELECT,PRODUCTS,0,192.168.1.178,user18,WORKSTATION1
2025-12-24 17:19:52.103161,ANALYST,UPDATE,CUSTOMERS,0,192.168.1.227,user30,WORKSTATION1
2025-12-12 08:59:52.103161,DBA_JOHN,SELECT,DEPARTMENTS,0,192.168.1.137,user50,SERVER1
2025-12-16 12:47:52.103161,ADMIN,SELECT,DEPARTMENTS,0,192.168.1.131,user29,WORKSTATION1
2026-01-05 05:16:52.103161,HR,CREATE,ORDERS,0,192.168.1.207,user36,UNKNOWN
2025-12-26 16:29:52.103161,ADMIN,DROP,DEPARTMENTS,0,192.168.1.91,user2,SERVER1
2025-12-15 12:33:52.103161,ADMIN,CREATE,EMPLOYEES,0,192.168.1.204,user11,WORKSTATION1
2025-12-22 12:29:52.103161,ADMIN,DELETE,CUSTOMERS,0,192.168.1.253,user2,WORKSTATION1
2025-12-30 00:25:52.103161,DBA_JOHN,UPDATE,SALARY_DATA,0,192.168.1.123,user2,UNKNOWN
2025-12-14 16:33:52.103161,HR,SELECT,ORDERS,0,192.168.1.202,user32,WORKSTATION1
2026-01-03 12:36:52.103161,SCOTT,UPDATE,DEPARTMENTS,0,192.168.1.214,user20,SERVER1
2025-12-28 08:04:52.103161,DBA_JOHN,SELECT,EMPLOYEES,0,192.168.1.20,user19,UNKNOWN
2026-01-02 19:49:52.103161,APP_USER,DROP,DEPARTMENTS,0,192.168.1.24,user7,WORKSTATION1
