SQL_ID,SCHEMA_NAME,EXECUTIONS,TOTAL_ELAPSED_SEC,AVG_ELAPSED_SEC,CPU_TIME_SEC,BUFFER_GETS,DISK_READS,ROWS_PROCESSED,SQL_TEXT
slow_0000,APP_USER,29,3.6435916047207435,1.5457716502305487,10.026137175907708,212098,70192,43995,DELETE FROM temp_table WHERE created_date < SYSDATE - 7
slow_0001,HR,11,18.344121643765494,4.778344913888688,0.5851206493823733,602548,3472,62242,"INSERT INTO audit_log (user_id, action, timestamp) VALUES (72, 'DELETE', SYSDATE)"
slow_0002,SCOTT,6,12.596893433287804,1.8066731613476543,0.9498015839214375,317800,4484,39561,"SELECT e.name, d.dept_name FROM employees e JOIN departments d ON e.dept_id = d.id"
slow_0003,HR,7,17.37670195536714,2.805346041108201,4.061919919653953,663690,90402,20162,SELECT * FROM employees WHERE department_id = 8
slow_0004,HR,15,22.745001877498893,0.6093699766179284,11.485671985731297,385772,63623,94060,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 645
slow_0005,APP_USER,83,14.194001011738576,4.689306064440784,10.851853295243574,790308,61675,61235,CREATE INDEX idx_emp_dept ON employees(department_id)
slow_0006,SCOTT,88,6.346274979828393,2.246882266811899,6.810020631588501,904296,58441,37992,SELECT * FROM employees WHERE department_id = 9
slow_0007,APP_USER,31,27.752223613767768,4.04240825431655,5.765881344474211,554351,22903,23957,"INSERT INTO audit_log (user_id, action, timestamp) VALUES (67, 'LOGOUT', SYSDATE)"
slow_0008,HR,13,8.738132014009123,4.693045700703837,10.244358462623058,840678,50993,93971,"SELECT e.name, d.dept_name FROM employees e JOIN departments d ON e.dept_id = d.id"
slow_0009,HR,95,19.62929997050162,4.782628047217394,9.228541465592933,365286,68956,89474,"INSERT INTO audit_log (user_id, action, timestamp) VALUES (5, 'DELETE', SYSDATE)"
slow_0010,APP_USER,48,8.275927708352425,2.224813370054295,2.4345848440845135,664555,3264,89241,SELECT * FROM employees WHERE department_id = 7
slow_0011,HR,95,14.07859384207045,2.3533777884615423,11.710881031494262,923528,92369,11677,ALTER TABLE customers ADD (created_date DATE DEFAULT SYSDATE)
slow_0012,HR,71,6.535105414724016,2.44415216496007,9.177338009904085,476093,47913,38829,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30
slow_0013,HR,29,17.323093836155763,1.4083919853368752,3.383214133568267,321900,16790,76948,SELECT * FROM employees WHERE department_id = 5
slow_0014,SCOTT,51,18.062128589970136,3.0297048124161226,4.5245453443297885,666392,38343,86988,"INSERT INTO audit_log (user_id, action, timestamp) VALUES (20, 'DELETE', SYSDATE)"
slow_0015,SCOTT,91,14.160946947483108,3.753924534206255,9.91397976182564,571223,16503,52661,"INSERT INTO audit_log (user_id, action, timestamp) VALUES (22, 'DELETE', SYSDATE)"
slow_0016,SCOTT,91,7.3767698531003685,1.694504815708174,13.22469286129664,613907,99879,1761,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 734
slow_0017,HR,66,18.17817462371285,1.9721597402549642,1.6382076213349657,492757,57709,27255,"SELECT e.name, d.dept_name FROM employees e JOIN departments d ON e.dept_id = d.id"
slow_0018,SCOTT,36,19.431345757513014,1.2558158565947397,6.591558865871302,382678,8956,89413,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30
slow_0019,SCOTT,91,5.23384199167009,4.328910292601195,12.968610084447857,895083,15060,90738,DELETE FROM temp_table WHERE created_date < SYSDATE - 7
