TIMESTAMP,USERNAME,ACTION_NAME,OBJ_NAME,SQL_TEXT,RETURNCODE,CLIENT_ID,OS_USERNAME,TERMINAL
2025-12-22 20:44:36,ADMIN,INSERT,PRODUCTS,SELECT * FROM CUSTOMERS WHERE id = 22,0,192.168.1.67,user24,SERVER1
2025-12-23 14:59:36,APP_USER,SELECT,SALARY_DATA,SELECT * FROM PRODUCTS WHERE id = 99,0,192.168.1.81,user37,SERVER1
2025-12-28 05:28:36,APP_USER,DELETE,ORDERS,SELECT * FROM PRODUCTS WHERE id = 14,0,192.168.1.99,user7,UNKNOWN
2025-12-19 10:52:36,HR,UPDATE,PRODUCTS,SELECT * FROM DEPARTMENTS WHERE id = 63,0,192.168.1.139,user3,UNKNOWN
2026-01-04 16:58:36,APP_USER,INSERT,EMPLOYEES,SELECT * FROM PRODUCTS WHERE id = 33,0,192.168.1.36,user3,WORKSTATION1
2025-12-15 04:25:36,ANALYST,ALTER,PRODUCTS,SELECT * FROM DEPARTMENTS WHERE id = 23,0,192.168.1.85,user7,UNKNOWN
2026-01-06 09:53:36,ANALYST,DROP,SALARY_DATA,SELECT * FROM SALARY_DATA WHERE id = 95,0,192.168.1.13,user3,WORKSTATION1
2025-12-30 07:50:36,DBA_JOHN,SELECT,PRODUCTS,SELECT * FROM ORDERS WHERE id = 16,0,192.168.1.174,user5,UNKNOWN
2026-01-02 01:22:36,HR,UPDATE,DEPARTMENTS,SELECT * FROM EMPLOYEES WHERE id = 33,942,192.168.1.129,user41,WORKSTATION1
2025-12-28 04:51:36,SCOTT,UPDATE,SALARY_DATA,SELECT * FROM SALARY_DATA WHERE id = 68,0,192.168.1.113,user36,WORKSTATION1
2026-01-09 05:20:36,ANALYST,CREATE,DEPARTMENTS,SELECT * FROM SALARY_DATA WHERE id = 7,0,192.168.1.141,user38,WORKSTATION1
2025-12-22 06:07:36,ADMIN,ALTER,EMPLOYEES,SELECT * FROM PRODUCTS WHERE id = 37,0,192.168.1.220,user16,UNKNOWN
2025-12-31 08:54:36,SCOTT,UPDATE,EMPLOYEES,SELECT * FROM PRODUCTS WHERE id = 25,0,192.168.1.13,user39,UNKNOWN
2026-01-08 17:48:36,ADMIN,DROP,PRODUCTS,SELECT * FROM ORDERS WHERE id = 50,0,192.168.1.106,user29,WORKSTATION1
2025-12-31 06:42:36,APP_USER,DELETE,EMPLOYEES,SELECT * FROM DEPARTMENTS WHERE id = 73,0,192.168.1.139,user38,LAPTOP5
2025-12-21 18:43:36,ANALYST,INSERT,DEPARTMENTS,SELECT * FROM CUSTOMERS WHERE id = 8,0,192.168.1.202,user17,SERVER1
