TIMESTAMP,USERNAME,ACTION,OBJECT_NAME,RETURNCODE,CLIENT_ID,OS_USERNAME,TERMINAL,LABEL,ANOMALY_TYPE
2026-01-09 11:43:25,APP_USER,UPDATE,DEPARTMENTS,0,192.168.1.45,employee83,SERVER2,normal,
2026-01-09 12:12:25,HR_USER,UPDATE,PRODUCTS,0,192.168.1.20,employee57,LAPTOP5,normal,
2026-01-04 07:57:25,REPORT_USER,INSERT,CUSTOMERS,0,192.168.1.24,employee97,WORKSTATION1,normal,
2026-01-05 11:19:25,APP_USER,SELECT,DEPARTMENTS,0,192.168.1.27,employee8,WORKSTATION1,normal,
2026-01-06 07:34:25,APP_USER,UPDATE,CUSTOMERS,0,192.168.1.28,employee38,SERVER2,normal,
2026-01-03 23:51:25,ANALYST,CREATE USER,DBA TO APP_USER,0,192.168.1.162,user5,UNKNOWN,suspicious,privilege_escalation
2026-01-06 11:47:25,APP_USER,INSERT,ORDERS,0,192.168.1.10,employee31,LAPTOP5,normal,
2026-01-05 10:17:25,ANALYST,SELECT,ORDERS,0,192.168.1.25,employee59,WORKSTATION1,normal,
2026-01-05 16:01:25,REPORT_USER,INSERT,PRODUCTS,0,192.168.1.31,employee54,SERVER2,normal,
2026-01-07 13:52:25,APP_USER,UPDATE,EMPLOYEES,0,192.168.1.46,employee93,SERVER2,normal,
2026-01-03 07:45:25,ANALYST,INSERT,DEPARTMENTS,0,192.168.1.44,employee24,SERVER2,normal,
2026-01-07 01:11:25,REPORT_USER,SELECT,DBA_USERS,0,192.168.1.115,external,REMOTE,suspicious,data_exfiltration
2026-01-09 17:40:25,REPORT_USER,UPDATE,CUSTOMERS,0,192.168.1.48,employee20,WORKSTATION1,normal,
2026-01-03 08:26:25,REPORT_USER,UPDATE,PRODUCTS,0,192.168.1.16,employee82,SERVER2,normal,
2026-01-03 16:41:25,HR_USER,UPDATE,PRODUCTS,0,192.168.1.21,employee49,LAPTOP5,normal,
2026-01-07 17:02:25,SCOTT,SELECT,DEPARTMENTS,0,192.168.1.46,employee83,WORKSTATION1,normal,
2026-01-06 10:06:25,HR_USER,ALTER USER,BACKDOOR_ADMIN,0,192.168.1.208,user7,UNKNOWN,suspicious,privilege_escalation
2026-01-05 02:39:25,REPORT_USER,SELECT,CREDIT_CARDS,0,192.168.1.146,external,REMOTE,suspicious,data_exfiltration
2026-01-03 12:40:25,REPORT_USER,UPDATE,CUSTOMERS,0,192.168.1.19,employee15,SERVER2,normal,
2026-01-05 08:07:25,REPORT_USER,INSERT,EMPLOYEES,0,192.168.1.41,employee23,LAPTOP5,normal,
2026-01-03 12:44:25,SCOTT,INSERT,DEPARTMENTS,0,192.168.1.25,employee76,SERVER2,normal,
2026-01-05 21:24:25,HR_USER,SELECT,DBA_USERS,0,192.168.1.141,user42,REMOTE,suspicious,off_hours_access
2026-01-03 14:14:25,REPORT_USER,INSERT,CUSTOMERS,0,192.168.1.36,employee4,LAPTOP5,normal,
2026-01-06 07:03:25,HR_USER,UPDATE,PRODUCTS,0,192.168.1.18,employee6,SERVER2,normal,
2026-01-05 12:33:25,APP_USER,SELECT,CUSTOMERS,0,192.168.1.16,employee26,WORKSTATION1,normal,
2026-01-07 01:47:25,APP_USER,DELETE,SALARY_DATA,0,192.168.1.102,user17,VPN,suspicious,off_hours_access
2026-01-08 17:35:25,SCOTT,UPDATE,ORDERS,0,192.168.1.50,employee50,LAPTOP5,normal,
2026-01-06 19:43:25,ANALYST,SELECT,CUSTOMERS WHERE email=''; DROP TABLE USERS--,0,192.168.1.240,malicious,UNKNOWN,suspicious,sql_injection
2026-01-04 07:18:25,APP_USER,INSERT,EMPLOYEES,0,192.168.1.25,employee38,SERVER2,normal,
2026-01-08 18:41:25,DBA,LOGON,DATABASE,1005,192.168.1.208,attacker,UNKNOWN,suspicious,brute_force
2026-01-03 09:57:28,ROOT,LOGON,DATABASE,1005,192.168.1.209,attacker,UNKNOWN,suspicious,brute_force
2026-01-03 00:55:25,REPORT_USER,SELECT,DBA_USERS,0,192.168.1.158,vpn_user,REMOTE,suspicious,data_exfiltration
2026-01-05 03:50:27,ROOT,LOGON,DATABASE,1005,192.168.1.211,attacker,UNKNOWN,suspicious,brute_force
2026-01-05 06:41:25,SCOTT,SELECT,PRODUCTS WHERE id=1' OR 'a'='a,0,192.168.1.186,hacker,UNKNOWN,suspicious,sql_injection
2026-01-03 08:48:25,REPORT_USER,UPDATE,CUSTOMERS,0,192.168.1.38,employee27,LAPTOP5,normal,
2026-01-05 16:45:25,APP_USER,SELECT,ORDERS,0,192.168.1.27,employee89,SERVER2,normal,
2026-01-03 15:48:25,HR_USER,INSERT,DEPARTMENTS,0,192.168.1.21,employee71,SERVER2,normal,
2026-01-06 02:12:25,ANALYST,GRANT,DBA TO APP_USER,0,192.168.1.124,user4,WORKSTATION1,suspicious,privilege_escalation
2026-01-09 11:30:25,APP_USER,UPDATE,ORDERS,0,192.168.1.32,employee53,WORKSTATION1,normal,
2026-01-06 16:43:25,ANALYST,INSERT,ORDERS,0,192.168.1.10,employee90,LAPTOP5,normal,
2026-01-05 16:07:25,REPORT_USER,SELECT,EMPLOYEES,0,192.168.1.19,employee47,LAPTOP5,normal,
2026-01-07 10:39:25,HR_USER,UPDATE,EMPLOYEES,0,192.168.1.19,employee98,WORKSTATION1,normal,
2026-01-06 21:42:25,REPORT_USER,ALTER USER,SYSDBA TO HACKER,0,192.168.1.202,user4,UNKNOWN,suspicious,privilege_escalation
2026-01-03 11:03:25,APP_USER,INSERT,ORDERS,0,192.168.1.23,employee76,SERVER2,normal,
2026-01-09 08:55:25,SCOTT,SELECT,CUSTOMERS,0,192.168.1.50,employee6,WORKSTATION1,normal,
2026-01-06 14:46:25,REPORT_USER,SELECT,DEPARTMENTS,0,192.168.1.26,employee77,SERVER2,normal,
2026-01-08 13:54:25,APP_USER,INSERT,EMPLOYEES,0,192.168.1.44,employee81,SERVER2,normal,
2026-01-09 15:44:25,ANALYST,SELECT,ORDERS,0,192.168.1.33,employee74,LAPTOP5,normal,
2026-01-03 02:23:25,HR_USER,SELECT,SALARY_DATA,0,192.168.1.190,user5,UNKNOWN,suspicious,off_hours_access
2026-01-07 07:06:25,SCOTT,UPDATE,EMPLOYEES,0,192.168.1.12,employee79,LAPTOP5,normal,
2026-01-05 13:11:25,REPORT_USER,UPDATE,EMPLOYEES,0,192.168.1.18,employee75,LAPTOP5,normal,
2026-01-05 14:01:25,SCOTT,UPDATE,CUSTOMERS,0,192.168.1.40,employee69,SERVER2,normal,
2026-01-03 01:22:25,SCOTT,SELECT,CREDIT_CARDS,0,192.168.1.175,external,REMOTE,suspicious,data_exfiltration
2026-01-09 07:46:25,ANALYST,SELECT,CUSTOMERS,0,192.168.1.35,employee16,WORKSTATION1,normal,
2026-01-09 12:27:25,ANALYST,UPDATE,CUSTOMERS,0,192.168.1.47,employee31,WORKSTATION1,normal,
2026-01-05 15:05:25,REPORT_USER,UPDATE,CUSTOMERS,0,192.168.1.46,employee7,SERVER2,normal,
2026-01-06 12:11:25,REPORT_USER,INSERT,PRODUCTS,0,192.168.1.13,employee6,WORKSTATION1,normal,
2026-01-07 11:04:25,SCOTT,INSERT,CUSTOMERS,0,192.168.1.47,employee57,LAPTOP5,normal,
2026-01-06 13:53:25,APP_USER,INSERT,DEPARTMENTS,0,192.168.1.32,employee84,LAPTOP5,normal,
2026-01-07 07:37:25,ANALYST,UPDATE,DEPARTMENTS,0,192.168.1.38,employee67,LAPTOP5,normal,
